"","prop_US_house","prop_US_sen","prop_gov","party_diff_uncontested_state_house","state_house_contested","party_diff_uncontested_state_sen","state_sen_contested"
"65",0.590372281,0.622807308,0.6389,0.657894737,0.633431207,0.578947368,0.498578601
"66",0.582856511,0.622807308,0.6389,0.660714286,0.54072834,0.6,0.627434197
"67",0.555119679,1,0.575,0.484375,0.640046916,0.375,0.63487687
"68",0.595395971,0.601771941,0.575,0.488721805,0.560535349,0.634146341,0.627913161
"69",0.474072371,0.601771941,0.5984,0.4,0.570794692,0.185185185,0.578201274
"70",0.46446023,0.472995794,0.5984,0.377777778,0.587214246,0.47826087,0.574991377
"71",0.345069125,0.566012662,0.3923,0.241830065,0.552853829,0.230769231,0.556983587
"72",0.561831931,0.566012662,0.3923,0.242647059,0.54297956,0.416666667,0.483313175
"73",0.580159065,0.538956202,0.4697,0.296296296,0.505266631,0.24,0.54929849
"74",0.543700054,0.5591607,0.4697,0.272727273,0.519546668,0.181818182,0.610897401
"75",0.598378005,0.5591607,0.5776,0.236641221,0.583875449,0.6,0.59285957
"76",0.658786259,1,0.5776,0.308823529,0.49440685,0.368421053,0.449870977
"77",0.422055039,0.389518961,0.6569999,0.14084507,0.459556927,0.230769231,0.404145159
"78",0.323411092,0.389518961,0.6569999,0.025477707,0.47174901,-0.054545455,0.45525162
"79",0.33329714,0.411041669,0.428080443,-0.032679739,0.443624643,-0.25,0.43856353
"80",0.127726375,0.377006661,0.428080443,-0.183823529,0.422477702,-0.363636364,0.423312651
"81",0.517806984,0.483031122,0.6056,0.023255814,0.561053501,0,0.60996996
"82",0.467361112,0.603416802,0.6056,0.01369863,0.536862628,0,0.495158529
"83",0.514295917,0.4649089,0.4939,-0.005263158,0.560142097,-0.02,0.592735768
"84",0.494486498,0.4649089,0.4939,0.017045455,0.51712938,0,0.467708855
"85",0.529373127,0.507294175,0.3817,-0.009661836,0.552324611,0.021276596,0.632488463
"86",0.542273551,0.454607853,0.3817,0.00952381,0.524201031,0.018518519,0.49421295
"87",0.51596684,0.454607853,0.4818,0.028846154,0.540165089,-0.019230769,0.592321635
"88",0.555126211,0.557916976,0.4818,0.016949153,0.552165319,-0.046875,0.52077304
"89",0.493129972,0.510397853,0.424,0.004716981,0.503300589,0,0.555807076
"90",0.523040436,0.510397853,0.424,0.009174312,0.530902575,0,0.527295959
"91",0.535096194,0.55228328,0.6017,-0.004608295,0.567916267,-0.018867925,0.617946142
"92",0.548733177,0.604164929,0.6017,0.008474576,0.57230728,0,0.528530397
"93",0.536325527,0.604164929,0.5271,0.020512821,0.545388993,0.02173913,0.579516169
"94",0.552995468,0.604233798,0.5271,0.005154639,0.546127846,0.018867925,0.551871437
"95",0.587482429,0.629257364,0.4105,0.026737968,0.549844851,0.042553191,0.55803942
"96",0.620336738,0.629257364,0.4105,0.005780347,0.609904799,0,0.605496449
"97",0.551011406,0.553046602,0.5681,0,0.565790771,0.0625,0.588636566
"98",0.620051976,0.625242845,0.5681,0.063291139,0.574671851,0.1,0.560445912
"99",0.579580492,0.625242845,0.599702005,0.033898305,0.524809983,0.1,0.449176848
"100",0.64813848,1,0.599702005,0.087248322,0.560088063,0.230769231,0.51501342
"101",0.478858259,0.407113148,0.604,0.048780488,0.467346179,0.068965517,0.445580837
"102",0.449373828,0.508265651,0.604,0.008547009,0.454340485,-0.032258065,0.450214675
"103",0.480364286,0.508265651,0.6747,-0.07826087,0.480963292,-0.068965517,0.47780961
"104",0.358662741,0.350175506,0.6747,-0.074074074,0.45981885,-0.185185185,0.454305895
"105",0.442636667,0.507892518,0.5866,-0.00877193,0.456391913,-0.033333333,0.452809617
"106",0.491763424,0.507892518,0.5866,0.017241379,0.463588718,-0.096774194,0.459805967
"107",0.508186199,0.427974033,0.6359,-0.01754386,0.485038579,0,0.474321123
"108",0.477163431,0.548012502,0.6359,-0.008403361,0.505118075,-0.060606061,0.521848116
"109",0.346556839,0.548012502,0.589,-0.008474576,0.436580346,-0.033333333,0.435549664
"110",0.417378535,0.470832173,0.589,-0.085470085,0.485092976,-0.032258065,0.490541918
"111",0.42693919,0.359126328,0.4954,-0.037037037,0.484353074,-0.032258065,0.464183013
"112",0.338667546,0.359126328,0.4954,0.005882353,0.498047174,0,0.536397104
"113",0.498021308,0.474464925,0.3496,-0.006622517,0.488252832,-0.026315789,0.441990135
"114",0.500867588,0.524376096,0.3496,-0.007246377,0.495929806,0.027777778,0.544206525
"115",0.571771425,0.524376096,0.5866,0.074380165,0.503436194,0.060606061,0.480575211
"116",0.559737825,0.554065288,0.5866,0.007936508,0.541659701,0.057142857,0.540009893
"117",0.475330755,0.50861812,0.8209,-0.072,0.517560983,-0.028571429,0.45662311
"118",0.485691443,0.50861812,0.8209,-0.005847953,0.55384297,0,0.579034976
"119",0.483533115,0.489707971,0.517545258,-0.12173913,0.510666243,-0.104166667,0.512846992
"120",0.495136555,0.530044532,0.517545258,0.008583691,0.458593833,0.02970297,0.445157059
"121",0.583141544,0.416586904,0.5921,0.019933555,0.562898378,0.013888889,0.562936327
"122",0.520621791,0.567646689,0.5921,0.020547945,0.509399742,0,0.523054707
"123",0.543209598,0.47759089,0.5374,0.023489933,0.533641788,0.013333333,0.554467359
"124",0.467124462,0.47759089,0.5374,-0.010169492,0.471995369,0,0.46155573
"125",0.556675503,0.650162927,0.5849,0.027874564,0.548258367,0.028571429,0.557850195
"126",0.493846364,0.50367423,0.5849,0.006578947,0.534986325,0.012658228,0.531484884
"127",0.47268244,0.50367423,0.339,0.006802721,0.532899207,0.012987013,0.505530443
"128",0.417876311,0.502446729,0.339,-0.004950495,0.50284882,0,0.479936863
"129",0.451665952,0.569969408,0.4747,-0.016172507,0.506440258,0.01010101,0.453368821
"130",0.552081193,0.569969408,0.4747,0.020338983,0.592444421,0,0.522271978
"131",0.528524791,0.668067365,0.3604,-0.007142857,0.579541051,0.014084507,0.509655725
"132",0.542075282,0.649111693,0.3604,0.025925926,0.600644409,-0.057971014,0.609059067
"133",0.522078567,0.649111693,0.4389,0.003496503,0.577210799,-0.027027027,0.537636882
"134",0.555031112,0.67375789,0.4389,0.037267081,0.565259985,0.022727273,0.543837366
"135",0.607041518,0.805018195,0.3593,0.006134969,0.632373886,-0.011235955,0.618752679
"136",0.642894536,0.805018195,0.3593,0.042682927,0.607916956,0,0.595444429
